statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,continuous_or_discrete,v5_compatible,needs_repair
S0022,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,253,global error process definition,R(x)=\frac{G(x)}{\mathcal E(x)}.,unspecified,True,False
S0023,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,276,global error process definition,"This is better than working directly with \(G(x)\), because the envelope motion is included.",unspecified,True,False
S0024,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,288,global error process definition,## 7. Case Split for \(G(x)=\psi(x)-x\),unspecified,True,False
S0025,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,293,global error process definition,"G(x)=\psi(x)-x,",unspecified,True,False
S0026,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,311,global error process definition,G(x)=\psi(x)-x,unspecified,True,False
S0027,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,314,step drift analysis,decreases linearly.,unspecified,True,False
S0028,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,320,global error process definition,"Upper crossings can only occur at jumps, because between jumps \(G(x)\) decreases.",unspecified,True,False
S0029,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,320,step drift analysis,"Upper crossings can only occur at jumps, because between jumps \(G(x)\) decreases.",unspecified,True,False
S0030,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,320,upper jump localization claim,"Upper crossings can only occur at jumps, because between jumps \(G(x)\) decreases.",unspecified,True,False
S0031,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,322,step drift analysis,So upper first crossings should localize to prime-power jump rows.,unspecified,True,False
S0032,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,322,upper jump localization claim,So upper first crossings should localize to prime-power jump rows.,unspecified,True,False
S0033,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,326,step drift analysis,Lower crossings can occur between jumps by downward drift.,unspecified,True,False
S0034,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,326,lower drift bracketing claim,Lower crossings can occur between jumps by downward drift.,unspecified,True,False
S0035,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,334,global error process definition,## 8. Case Split for \(G(x)=\pi(x)-\operatorname{Li}(x)\),unspecified,True,False
S0036,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,339,global error process definition,"G(x)=\pi(x)-\operatorname{Li}(x),",unspecified,True,False
S0037,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,347,global error process definition,G(x),unspecified,True,False
S0038,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,360,step drift analysis,Can occur by smooth drift between primes.,unspecified,True,False
S0039,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,362,candidate window selection rule,The candidate selection theorem must cover both.,unspecified,True,False
S0040,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,370,step drift analysis,Every upper first crossing after \(P_0\) occurs at a prime or prime-power jump and is therefore represented by a jump/endpoint candidate.,discrete_or_window,True,False
S0041,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,370,upper jump localization claim,Every upper first crossing after \(P_0\) occurs at a prime or prime-power jump and is therefore represented by a jump/endpoint candidate.,discrete_or_window,True,False
S0042,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,380,lower drift bracketing claim,### Lemma 2 — Lower drift localization,unspecified,True,False
S0043,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,385,lower drift bracketing claim,2. inside a window whose lower-drift state is represented by the theta-envelope candidate set.,discrete_or_window,True,False
S0044,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,385,theta-window continuity claim,2. inside a window whose lower-drift state is represented by the theta-envelope candidate set.,discrete_or_window,True,False
S0045,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,389,gap-free coverage claim,The audited theta-window candidate set has no gaps in the normalized first-exit coordinate.,discrete_or_window,True,False
S0046,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,392,theta-window continuity claim,\bigcup_J \Theta(J),unspecified,True,False
S0047,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,412,P0 transition statement,"P_0=500,000,000.",unspecified,True,False
S0048,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,423,step drift analysis,Use the fact that the global error process is step-plus-drift.,unspecified,True,False
S0049,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,427,global error process definition,"Between jumps, \(G(x)\) decreases. Therefore upper exits cannot happen between jumps. They happen at jumps and are captured by prime/prime-power candidate windows.",discrete_or_window,True,False
S0050,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,427,step drift analysis,"Between jumps, \(G(x)\) decreases. Therefore upper exits cannot happen between jumps. They happen at jumps and are captured by prime/prime-power candidate windows.",discrete_or_window,True,False
S0051,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,427,upper jump localization claim,"Between jumps, \(G(x)\) decreases. Therefore upper exits cannot happen between jumps. They happen at jumps and are captured by prime/prime-power candidate windows.",discrete_or_window,True,False
S0052,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,431,global error process definition,"Between jumps, \(G(x)\) decreases. Lower exits can happen between jumps. But because the drift is monotone between jumps, the first lower exit occurs at a predictable endpoint or is bracketed by two consecutive jump endpoints. The theta-window system must include that bracket.",discrete_or_window,True,False
S0053,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,431,step drift analysis,"Between jumps, \(G(x)\) decreases. Lower exits can happen between jumps. But because the drift is monotone between jumps, the first lower exit occurs at a predictable endpoint or is bracketed by two consecutive jump endpoints. The theta-window system must include that bracket.",discrete_or_window,True,False
S0054,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,431,lower drift bracketing claim,"Between jumps, \(G(x)\) decreases. Lower exits can happen between jumps. But because the drift is monotone between jumps, the first lower exit occurs at a predictable endpoint or is bracketed by two consecutive jump endpoints. The theta-window system must include that bracket.",discrete_or_window,True,False
S0055,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,433,continuous all-x claim,This reduces continuous all-\(x\) selection to jump intervals.,continuous,True,False
S0056,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,442,global error process definition,R(x)=G(x)/\mathcal E(x).,unspecified,True,False
S0057,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,445,global error process definition,"Between jumps, \(G(x)\) decreases and \(\mathcal E(x)\) increases slowly.",unspecified,True,False
S0058,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,445,step drift analysis,"Between jumps, \(G(x)\) decreases and \(\mathcal E(x)\) increases slowly.",unspecified,True,False
S0059,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,453,step drift analysis,"should decrease between jumps, so upper exits occur at jumps.",unspecified,True,False
S0060,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,453,upper jump localization claim,"should decrease between jumps, so upper exits occur at jumps.",unspecified,True,False
S0061,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,461,step drift analysis,may become more negative between jumps. Need monotonic control of:,unspecified,True,False
S0062,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,467,lower drift bracketing claim,Prove the lower first exit occurs before/at the next jump endpoint and is captured by a window whose endpoints bracket the crossing.,discrete_or_window,True,False
S0063,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,492,lower drift bracketing claim,\text{all monotone drift intervals are included in theta windows}.,continuous,True,False
S0064,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,492,theta-window continuity claim,\text{all monotone drift intervals are included in theta windows}.,continuous,True,False
S0065,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,529,theta-window continuity claim,"1. Are candidates tied to jumps, intervals, endpoints, or theta windows?",discrete_or_window,True,False
S0066,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,530,step drift analysis,2. Are all prime/prime-power jump events represented?,continuous,True,False
S0067,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,534,theta-window continuity claim,6. Does the audit use continuous theta coverage or sampled points only?,continuous,True,False
S0068,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,535,sampled-grid caveat,7. Does it avoid full-grid H-Exc assumptions?,unspecified,True,False
S0069,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,557,continuous all-x claim,every post-P0 continuous all-x RH-scale first crossing enters the audited FullFCL/theta candidate universe.,continuous,True,False
S0070,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,557,candidate window selection rule,every post-P0 continuous all-x RH-scale first crossing enters the audited FullFCL/theta candidate universe.,continuous,True,False
S0071,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,560,step drift analysis,1. Is the global error process step-plus-drift?,unspecified,True,False
S0072,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,561,upper jump localization claim,2. Are upper first crossings forced to occur at jumps?,unspecified,True,False
S0073,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,562,lower drift bracketing claim,3. Are lower first crossings bracketed by candidate windows?,discrete_or_window,True,False
S0074,Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_PostP0_ContinuousWindowSelection_Proof_Attack_v1.md,563,step drift analysis,4. Are all prime/prime-power jump events represented?,continuous,True,False
