statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,coverage_mode,v5_compatible,needs_repair
S0014,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,130,covered domain,x_1\ge P_0,unclear,True,False
S0015,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,141,row family definition,"J=[y,y+h]",unclear,True,False
S0016,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,176,endpoint/window selection rule,### Input 1 — WindowSelection,endpoint_or_window,True,False
S0017,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,181,covered domain,"x_1\ge P_0,",unclear,True,False
S0018,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,184,row family definition,there exists a compatible local B2/R2Q interval:,unclear,True,False
S0019,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,187,row family definition,"J=[y,y+h]",unclear,True,False
S0020,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,190,covered domain,"such that \(x_1\) is covered by \(J\), either as an interior point or as an endpoint controlled by \(J\).",endpoint_or_window,True,False
S0021,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,190,continuous vs discrete statement,"such that \(x_1\) is covered by \(J\), either as an interior point or as an endpoint controlled by \(J\).",endpoint_or_window,True,False
S0022,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,190,endpoint/window selection rule,"such that \(x_1\) is covered by \(J\), either as an interior point or as an endpoint controlled by \(J\).",endpoint_or_window,True,False
S0023,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,190,interior crossing rule,"such that \(x_1\) is covered by \(J\), either as an interior point or as an endpoint controlled by \(J\).",endpoint_or_window,True,False
S0024,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,196,covered domain,x_1\ge P_0,unclear,True,False
S0025,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,198,covered domain,x_1\in\mathcal C_{\rm B2/R2Q}.,unclear,True,False
S0026,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,212,upper/lower sign preservation,### Input 2 — SignedLocalExtraction,unclear,True,False
S0027,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,220,endpoint/window selection rule,then the selected local interval satisfies:,unclear,True,False
S0028,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,232,upper/lower sign preservation,\text{local theta sign}.,theta_window,True,False
S0029,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,367,interior crossing rule,"\mathsf{HExcInteriorRigidity},",unclear,True,False
S0030,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,371,continuous vs discrete statement,"\mathsf{EndpointCompatibility},",endpoint_or_window,True,False
S0031,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,421,covered domain,x_1\ge P_0.,unclear,True,False
S0032,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,429,endpoint/window selection rule,"By **WindowSelection**, choose a compatible local interval:",endpoint_or_window,True,False
S0033,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,432,row family definition,"J=[y,y+h].",unclear,True,False
S0034,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,435,upper/lower sign preservation,"By **SignedLocalExtraction**, the local sign matches the global sign.",unclear,True,False
S0035,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,750,endpoint/window selection rule,### FCL-1 — WindowSelection,endpoint_or_window,True,False
S0036,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md,754,upper/lower sign preservation,### FCL-2 — SignedLocalExtraction,unclear,True,False
S0037,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,1,coverage theorem,# Prime Mesh R2Q — First-Crossing Covering Localization Target,unclear,True,False
S0038,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,7,row family definition,**Purpose:** Combine B3 covering and theta covering into one proof target: every global first crossing localizes to a covered B2/R2Q interval.,theta_window,True,False
S0039,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,7,coverage theorem,**Purpose:** Combine B3 covering and theta covering into one proof target: every global first crossing localizes to a covered B2/R2Q interval.,theta_window,True,False
S0040,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,113,row family definition,"J=[y,y+h],",unclear,True,False
S0041,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,148,finite-zone rule,Let \(x_1\) be the first point after the finite certificate threshold \(P_0\) where a global envelope fails.,finite_certificate,True,False
S0042,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,153,row family definition,"J=[y,y+h]",unclear,True,False
S0043,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,204,row family definition,"J=[y,y+h]",unclear,True,False
S0044,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,213,continuous vs discrete statement,"or \(x_1\) is an endpoint controlled by \(J\), and:",endpoint_or_window,True,False
S0045,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,213,endpoint/window selection rule,"or \(x_1\) is an endpoint controlled by \(J\), and:",endpoint_or_window,True,False
S0046,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,228,finite-zone rule,\text{ or finite certificate.},finite_certificate,True,False
S0047,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,245,row family definition,"J=[y,y+h]",unclear,True,False
S0048,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,290,finite-zone rule,P_0=500M.,unclear,True,False
S0049,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,319,finite-zone rule,x<P_0.,unclear,True,False
S0050,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,409,covered domain,x_1\ge P_0.,unclear,True,False
S0051,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,423,row family definition,"J=[y,y+h]",unclear,True,False
S0052,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,440,continuous vs discrete statement,or the corresponding block endpoint difference to show that the global crossing creates local signed excess or deficit.,endpoint_or_window,True,False
S0053,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,476,continuous vs discrete statement,Use O2/B3/H-Exc/endpoint repayment to rule out persistence of the negative channel.,endpoint_or_window,True,False
S0054,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,486,endpoint/window selection rule,### FCL-1 — Window Selection Lemma,endpoint_or_window,True,False
S0055,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,491,covered domain,"x_1\ge P_0,",unclear,True,False
S0056,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,494,row family definition,there exists a compatible B2/R2Q interval:,unclear,True,False
S0057,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,497,row family definition,"J=[y,y+h]",unclear,True,False
S0058,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,500,continuous vs discrete statement,covering \(x_1\) or controlling it as an endpoint.,endpoint_or_window,True,False
S0059,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,506,covered domain,x_1\ge P_0,unclear,True,False
S0060,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,508,covered domain,x_1\in\mathcal C_{\rm B2},unclear,True,False
S0061,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,631,continuous vs discrete statement,"\mathsf{EndpointCompatibility},",endpoint_or_window,True,False
S0062,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,644,covered domain,1. \(x_1\ge P_0\) is a first crossing of either the B2-facing tail envelope or the theta envelope.,theta_window,True,False
S0063,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,686,finite-zone rule,4. finite certificates.,finite_certificate,True,False
S0064,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,727,coverage theorem,covered_points,unclear,True,False
S0065,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,728,coverage theorem,uncovered_points,unclear,True,False
S0066,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,739,upper/lower sign preservation,sign_match_frac,unclear,True,False
S0067,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,748,P0 transition rule,post_P0_failures,unclear,True,False
S0068,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,750,coverage theorem,pass_covering_localization_empirical,unclear,True,False
S0069,Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md,834,row family definition,\text{first crossing localizes to a covered B2/R2Q interval.},unclear,True,False
S0070,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,1,row family definition,# Prime Mesh R2Q — FullFCL Formal Proof Skeleton,unclear,True,False
S0071,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,3,row family definition,**Document:** `Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md`,unclear,True,False
S0072,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,7,row family definition,"**Purpose:** Assemble the theorem-facing proof skeleton for FullFCL from the FCL front end, ThresholdRelevance/NeutralClause, ThetaSignBridge, ChannelCompatibility, and RepaymentStack.",theta_window,True,False
S0073,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,13,row family definition,The FullFCL proof route is now ready to be written as a formal contradiction skeleton.,unclear,True,False
S0074,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,29,row family definition,\mathsf{FullFCL}.,unclear,True,False
S0075,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,53,continuous vs discrete statement,"For every post-\(P_0\) first-crossing candidate, the FCL front end supplies a selected endpoint-compatible block:",endpoint_or_window,True,False
S0076,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,82,finite-zone rule,"J\text{ is harmless, repaid, finite-certified, or non-surviving.}",finite_certificate,True,False
S0077,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,120,row family definition,This places every positive theta row strictly below the relevance threshold:,theta_window,True,False
S0078,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,152,continuous vs discrete statement,"The repayment stack imports H-Exc bridge rigidity, O2 local repayment, endpoint repayment compatibility, and B3 no-accumulation.",endpoint_or_window,True,False
S0079,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,158,row family definition,### Theorem FullFCL — Formal Skeleton,unclear,True,False
S0080,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,160,finite-zone rule,Let \(P_0=500M\).,unclear,True,False
S0081,Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\docs\RH\notes\claude\repair and close process\Prime_Mesh_R2Q_FullFCL_Formal_Proof_Skeleton_v1.md,173,continuous vs discrete statement,10. Endpoint repayment compatibility;,endpoint_or_window,True,False
