gap_id,gap_start,gap_end,gap_length,left_candidate_id,right_candidate_id,left_candidate_type,right_candidate_type,post_P0,contains_jump_event,jump_event_count,contains_prime_jump,contains_prime_power_jump,upper_exit_possible,lower_exit_possible,lower_bracket_available,subthreshold_safe,O2_safe,B3_safe,finite_certificate_safe,non_surviving_safe,generator_contradiction_safe,monotone_safe,envelope_margin_safe,gap_safety_class,gap_safety_pass,gap_safety_reason,missing_data_flags,needed_data_or_lemma
gap_010,604150787,604150828,41,1277,1267,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_011,604150829,604150990,161,1267,1375,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_012,604150991,604157050,6059,1375,1304,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_013,604157051,604160736,3685,1304,1269,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_014,604160737,604161649,912,1269,219,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_015,604167899,604170576,2677,219,955,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_016,604170577,604170642,65,955,1210,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_017,604170643,604176892,6249,1210,629,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_018,604176893,604193620,16727,629,1363,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_019,604193621,604203810,10189,1363,1357,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_020,604203811,604205268,1457,1357,772,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_021,604205269,604205662,393,772,658,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_022,604205663,604205808,145,658,1153,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_023,604205809,604206345,536,1153,664,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_024,604206971,604207242,271,664,1445,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_025,604207243,604207847,604,1445,463,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_026,604208350,604322440,114090,463,1364,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_027,604322441,604325296,2855,1364,1356,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_028,604325297,604325338,41,1356,1231,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_029,604325339,604335487,10148,1231,184,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_030,604356173,604356978,805,184,1164,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_031,604356979,604357392,413,1164,1058,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_032,604357393,604357542,149,1058,1114,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_033,604357543,604358714,1171,1114,301,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_034,604360789,604361010,221,301,1062,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_035,604361011,604361110,99,1062,1075,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_036,604361111,604363228,2117,1075,382,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_037,604365031,604365196,165,382,1009,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_038,604365197,604365232,35,1009,1286,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_039,604365233,604365312,79,1286,1352,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_040,604365313,604410439,45126,1352,105,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_041,604432601,604432650,49,105,1223,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_042,604432651,604432680,29,1223,1419,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_043,604432681,604432770,89,1419,1134,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_044,604432771,604433380,609,1134,316,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_045,604434563,604435092,529,316,903,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_046,604435093,604435456,363,903,695,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_047,604435457,604435822,365,695,1329,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_048,604435823,604520611,84788,1329,41,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_049,604672261,604672806,545,41,721,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_050,604672807,604672950,143,721,1408,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_051,604672951,604673086,135,1408,1389,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_052,604673087,604674856,1769,1389,1240,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_053,604674857,604675732,875,1240,1404,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_054,604675733,604676122,389,1404,1160,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_055,604676123,604676182,59,1160,1384,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_056,604676183,604676356,173,1384,1127,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_057,604676357,604676710,353,1127,733,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_058,604676711,604678228,1517,733,1446,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_059,604678229,604678930,701,1446,379,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_060,604681513,604682818,1305,379,335,negative,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_061,604685377,604685566,189,335,872,negative,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_062,604685567,604685980,413,872,1444,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_063,604685981,604686096,115,1444,1420,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_064,604686097,604687002,905,1420,532,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_065,604687003,604687078,75,532,1377,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_066,604687079,604691158,4079,1377,1237,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_067,604691159,604691686,527,1237,808,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_068,604691687,604691862,175,808,1014,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_069,604691863,604692162,299,1014,987,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_070,604692163,604692298,135,987,1193,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_071,604692299,604692526,227,1193,1149,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_072,604692527,604692972,445,1149,1318,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_073,604692973,604693020,47,1318,1307,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_074,604693021,604693458,437,1307,1229,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_075,604693459,604693498,39,1229,1338,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_076,604693499,604693768,269,1338,810,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_077,604693769,604698078,4309,810,937,positive,positive,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
gap_078,604698079,604700469,2390,937,320,positive,negative,True,,,,,,,False,False,False,False,False,False,False,False,False,unknown,False,"No per-gap R(x)/envelope margin, jump-event, lower-bracket, subthreshold, or generator-contradiction certificate is available.",missing_R_values;no_per_gap_subthreshold_or_O2_B3_mapping,normalized_error_gap_bounds_or_generator_gap_contradiction_certificate
