statement_id,file_name,file_path,line,statement_type,statement_text_or_paraphrase,scope,v5_compatible,needs_repair
S0011,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,16,Q_R2Q threshold meaning,- Candidate rows with `Q_R2Q <= 0.75`: `0`.,candidate_set,True,False
S0012,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,16,0.75 constant justification,- Candidate rows with `Q_R2Q <= 0.75`: `0`.,candidate_set,True,False
S0013,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,16,subthreshold non-obstruction statement,- Candidate rows with `Q_R2Q <= 0.75`: `0`.,candidate_set,True,False
S0014,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,16,continuous/discrete scope statement,- Candidate rows with `Q_R2Q <= 0.75`: `0`.,candidate_set,True,False
S0015,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,17,subthreshold non-obstruction statement,- Subthreshold rows: `10115`.,theorem_or_unspecified,True,False
S0016,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,18,subthreshold non-obstruction statement,- Subthreshold unclassified rows: `0`.,theorem_or_unspecified,True,False
S0017,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,24,threshold relevance definition,"The safe theorem form is the contrapositive: if `Q_R2Q <= 3/4`, the row is harmless, repaid, finite-certified, or non-surviving. Therefore any surviving first-crossing obstruction must have `Q_R2Q > 3/4`.",theorem_or_unspecified,True,False
S0018,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,24,first-crossing obstruction definition,"The safe theorem form is the contrapositive: if `Q_R2Q <= 3/4`, the row is harmless, repaid, finite-certified, or non-surviving. Therefore any surviving first-crossing obstruction must have `Q_R2Q > 3/4`.",theorem_or_unspecified,True,False
S0019,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,24,Q_R2Q threshold meaning,"The safe theorem form is the contrapositive: if `Q_R2Q <= 3/4`, the row is harmless, repaid, finite-certified, or non-surviving. Therefore any surviving first-crossing obstruction must have `Q_R2Q > 3/4`.",theorem_or_unspecified,True,False
S0020,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,24,0.75 constant justification,"The safe theorem form is the contrapositive: if `Q_R2Q <= 3/4`, the row is harmless, repaid, finite-certified, or non-surviving. Therefore any surviving first-crossing obstruction must have `Q_R2Q > 3/4`.",theorem_or_unspecified,True,False
S0021,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,24,subthreshold non-obstruction statement,"The safe theorem form is the contrapositive: if `Q_R2Q <= 3/4`, the row is harmless, repaid, finite-certified, or non-surviving. Therefore any surviving first-crossing obstruction must have `Q_R2Q > 3/4`.",theorem_or_unspecified,True,False
S0022,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,28,threshold relevance definition,- Threshold relevance definition found: `True`.,theorem_or_unspecified,True,False
S0023,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,29,first-crossing obstruction definition,- First-crossing obstruction definition found: `True`.,theorem_or_unspecified,True,False
S0024,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,30,Q_R2Q threshold meaning,- `Q_R2Q` threshold definition found: `True`.,theorem_or_unspecified,True,False
S0025,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,31,0.75 constant justification,- `0.75` / `3/4` justification found: `True`.,theorem_or_unspecified,True,False
S0026,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,37,certificate result statement,| `rows` | `10140` |,theorem_or_unspecified,True,False
S0027,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,38,Q_R2Q threshold meaning,| `Q_R2Q_gt_0p75_count` | `24` |,theorem_or_unspecified,True,False
S0028,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,39,Q_R2Q threshold meaning,| `Q_R2Q_le_0p75_count` | `10115` |,theorem_or_unspecified,True,False
S0029,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,40,Q_R2Q threshold meaning,| `Q_R2Q_min` | `0.0` |,theorem_or_unspecified,True,False
S0030,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,41,Q_R2Q threshold meaning,| `Q_R2Q_max` | `1.8193520399038576` |,theorem_or_unspecified,True,False
S0031,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,42,threshold relevance definition,| `threshold_relevance_failures` | `0` |,theorem_or_unspecified,True,False
S0032,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,42,certificate result statement,| `threshold_relevance_failures` | `0` |,theorem_or_unspecified,True,False
S0033,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,46,subthreshold non-obstruction statement,## 6. Subthreshold Rows,theorem_or_unspecified,True,False
S0034,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,57,first-crossing obstruction definition,Counts overlap because a row can be safe in more than one channel. The important result is zero unclassified subthreshold rows and zero subthreshold surviving obstruction proxies.,theorem_or_unspecified,True,False
S0035,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,57,subthreshold non-obstruction statement,Counts overlap because a row can be safe in more than one channel. The important result is zero unclassified subthreshold rows and zero subthreshold surviving obstruction proxies.,theorem_or_unspecified,True,False
S0036,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,62,direct threshold sign compatibility,- Uses direct threshold sign: `True`.,theorem_or_unspecified,True,False
S0037,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,68,FullFCL threshold statement,"| symbolic all-x ThresholdRelevance proof | `not_standalone_symbolic` | The audit supports the contrapositive through a finite/candidate certificate and FullFCL/Covering inputs, not a standalone symbolic derivation. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Conditional_Closure_Update_v1.md` |",candidate_set,True,False
S0038,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,68,certificate result statement,"| symbolic all-x ThresholdRelevance proof | `not_standalone_symbolic` | The audit supports the contrapositive through a finite/candidate certificate and FullFCL/Covering inputs, not a standalone symbolic derivation. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Conditional_Closure_Update_v1.md` |",candidate_set,True,False
S0039,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,68,continuous/discrete scope statement,"| symbolic all-x ThresholdRelevance proof | `not_standalone_symbolic` | The audit supports the contrapositive through a finite/candidate certificate and FullFCL/Covering inputs, not a standalone symbolic derivation. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Conditional_Closure_Update_v1.md` |",candidate_set,True,False
S0040,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,69,certificate result statement,"| 10,140-row certificate | `passes` | Rows actual=10140; failures=0. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Certificate_Closure_Update_v1.md` |",theorem_or_unspecified,True,False
S0041,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,70,Q_R2Q threshold meaning,"| subthreshold non-obstruction | `passes` | Every Q_R2Q<=0.75 row is classified as harmless, repaid, certified, or non-surviving. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md` |",theorem_or_unspecified,True,False
S0042,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,70,0.75 constant justification,"| subthreshold non-obstruction | `passes` | Every Q_R2Q<=0.75 row is classified as harmless, repaid, certified, or non-surviving. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md` |",theorem_or_unspecified,True,False
S0043,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,70,subthreshold non-obstruction statement,"| subthreshold non-obstruction | `passes` | Every Q_R2Q<=0.75 row is classified as harmless, repaid, certified, or non-surviving. | `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md` |",theorem_or_unspecified,True,False
S0044,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,71,Q_R2Q threshold meaning,| failed delta route | `not_used` | No proof evidence relies on Q_R2Q>0.75 => Q_DeltaD>0.75. | `Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md` |,theorem_or_unspecified,True,False
S0045,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,71,0.75 constant justification,| failed delta route | `not_used` | No proof evidence relies on Q_R2Q>0.75 => Q_DeltaD>0.75. | `Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md` |,theorem_or_unspecified,True,False
S0046,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,71,failed delta route warning,| failed delta route | `not_used` | No proof evidence relies on Q_R2Q>0.75 => Q_DeltaD>0.75. | `Prime_Mesh_R2Q_GlobalBridge_v5_Compatibility_Update_v1.md` |,theorem_or_unspecified,False,False
S0047,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,87,subthreshold non-obstruction statement,prime_mesh_r2q_firstcrossing_thresholdrelevance_subthreshold_classification.csv,theorem_or_unspecified,True,False
S0048,Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\audit\Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Audit_v1.md,88,FullFCL threshold statement,prime_mesh_r2q_firstcrossing_thresholdrelevance_fullfcl_review.csv,theorem_or_unspecified,True,False
S0049,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,13,FullFCL threshold statement,- FullFCL found: `True`; v5-compatible as-is: `False`.,theorem_or_unspecified,True,False
S0050,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,18,direct threshold sign compatibility,- Uses updated direct threshold sign: `True`.,theorem_or_unspecified,True,False
S0051,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,27,certificate result statement,| `Prime_Mesh_R2Q_FiniteCertificate_Index_v1.md` | `finite_certificate_support` | False | False | False | True | True | Records finite/certificate coverage and states global bridge remains open. |,theorem_or_unspecified,True,False
S0052,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,28,certificate result statement,| `Prime_Mesh_R2Q_FiniteThetaEnvelope_Certificate_Spec_v1.md` | `finite_theta_certificate` | False | True | False | False | False | Finite theta envelope certificate/support. |,theorem_or_unspecified,True,False
S0053,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,29,certificate result statement,| `Prime_Mesh_R2Q_FiniteThetaEnvelope_Closure_Update_v1.md` | `finite_theta_certificate` | False | True | False | False | False | Finite theta envelope certificate/support. |,theorem_or_unspecified,True,False
S0054,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,30,continuous/discrete scope statement,| `Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Closure_Update_v1.md` | `candidate` | True | True | False | False | False | Contains RH-scale/global bridge language. |,candidate_set,True,False
S0055,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,31,continuous/discrete scope statement,| `Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Conditional_Theorem_v1.md` | `candidate` | True | True | False | False | False | Contains RH-scale/global bridge language. |,candidate_set,True,False
S0056,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,32,continuous/discrete scope statement,| `Prime_Mesh_R2Q_FirstCrossing_Covering_Localization_Target_v1.md` | `candidate` | True | True | False | False | False | Contains RH-scale/global bridge language. |,candidate_set,True,False
S0057,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,33,threshold relevance definition,| `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Closure_Update_v1.md` | `empirical_localization_support` | True | False | False | False | False | Empirical threshold relevance passes; theorem-facing contrapositive is local. |,theorem_or_unspecified,True,False
S0058,Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,C:\Users\jhegy\source\repos\prime-mesh-theory\Hegyesy_Prime_Mesh_R2Q_ThetaBridge_Certificate_v1_2026-05\docs\audits\Prime_Mesh_R2Q_GlobalBridge_to_RH_Audit_v1.md,34,threshold relevance definition,| `Prime_Mesh_R2Q_FirstCrossing_ThresholdRelevance_Proof_Target_v1.md` | `empirical_localization_support` | True | True | False | False | False | Empirical threshold relevance passes; theorem-facing contrapositive is local. |,theorem_or_unspecified,True,False
